Visitor/Neutral,Home/Neutral,Home/Away Wins
New Orleans Pelicans,Sacramento Kings,A
New York Knicks,Los Angeles Clippers,H
Portland Trail Blazers,Miami Heat,H
Minnesota Timberwolves,Cleveland Cavaliers,A
Memphis Grizzlies,Phoenix Suns,A
Detroit Pistons,Los Angeles Lakers,H
Indiana Pacers,Charlotte Hornets,A
Brooklyn Nets,Orlando Magic,H
Oklahoma City Thunder,Philadelphia 76ers,H
Boston Celtics,Washington Wizards,H
Denver Nuggets,Atlanta Hawks,A
Utah Jazz,New Orleans Pelicans,A
Chicago Bulls,Dallas Mavericks,H
Milwaukee Bucks,San Antonio Spurs,H
Golden State Warriors,Sacramento Kings,H
Detroit Pistons,Cleveland Cavaliers,A
Portland Trail Blazers,Toronto Raptors,A
Oklahoma City Thunder,Brooklyn Nets,A
Minnesota Timberwolves,Memphis Grizzlies,H
Sacramento Kings,Phoenix Suns,A
New York Knicks,Los Angeles Lakers,H
San Antonio Spurs,Boston Celtics,A
Toronto Raptors,Charlotte Hornets,A
Miami Heat,Indiana Pacers,A
Washington Wizards,Orlando Magic,H
Houston Rockets,Atlanta Hawks,A
Denver Nuggets,Dallas Mavericks,A
Chicago Bulls,New Orleans Pelicans,H
New York Knicks,Utah Jazz,H
Milwaukee Bucks,Golden State Warriors,A
Cleveland Cavaliers,Detroit Pistons,A
Boston Celtics,Philadelphia 76ers,H
Portland Trail Blazers,Minnesota Timberwolves,H
Houston Rockets,Oklahoma City Thunder,H
Atlanta Hawks,Washington Wizards,H
New Orleans Pelicans,New York Knicks,A
Miami Heat,Brooklyn Nets,H
Indiana Pacers,Chicago Bulls,A
San Antonio Spurs,Memphis Grizzlies,H
Orlando Magic,Phoenix Suns,H
Charlotte Hornets,Utah Jazz,H
Los Angeles Lakers,Dallas Mavericks,A
Milwaukee Bucks,Sacramento Kings,A
Golden State Warriors,Los Angeles Clippers,H
Minnesota Timberwolves,Houston Rockets,H
New Orleans Pelicans,Boston Celtics,H
Chicago Bulls,Detroit Pistons,A
Los Angeles Lakers,Oklahoma City Thunder,A
Philadelphia 76ers,Dallas Mavericks,H
Cleveland Cavaliers,Denver Nuggets,A
Milwaukee Bucks,Portland Trail Blazers,A
Miami Heat,New York Knicks,H
Utah Jazz,Washington Wizards,A
Atlanta Hawks,Brooklyn Nets,H
Golden State Warriors,Memphis Grizzlies,H
San Antonio Spurs,Toronto Raptors,A
Los Angeles Clippers,Denver Nuggets,H
Charlotte Hornets,Phoenix Suns,H
New Orleans Pelicans,Detroit Pistons,A
Philadelphia 76ers,Indiana Pacers,H
Chicago Bulls,Boston Celtics,H
Oklahoma City Thunder,Minnesota Timberwolves,A
Charlotte Hornets,Portland Trail Blazers,H
Orlando Magic,Sacramento Kings,A
Cleveland Cavaliers,Los Angeles Lakers,H
Phoenix Suns,Atlanta Hawks,H
Utah Jazz,Brooklyn Nets,A
Houston Rockets,Memphis Grizzlies,H
New York Knicks,Milwaukee Bucks,H
Dallas Mavericks,Golden State Warriors,A
Cleveland Cavaliers,Los Angeles Clippers,H
Detroit Pistons,Boston Celtics,A
Brooklyn Nets,Philadelphia 76ers,H
San Antonio Spurs,Miami Heat,H
Washington Wizards,Chicago Bulls,H
Indiana Pacers,Minnesota Timberwolves,A
Toronto Raptors,Oklahoma City Thunder,A
Charlotte Hornets,Denver Nuggets,H
Portland Trail Blazers,Houston Rockets,A
Dallas Mavericks,Sacramento Kings,A
Orlando Magic,Los Angeles Lakers,A
Phoenix Suns,New York Knicks,A
Boston Celtics,Milwaukee Bucks,H
Utah Jazz,New Orleans Pelicans,H
Denver Nuggets,Golden State Warriors,A
Orlando Magic,Los Angeles Clippers,H
Minnesota Timberwolves,Indiana Pacers,H
Chicago Bulls,Philadelphia 76ers,H
Washington Wizards,Toronto Raptors,H
Cleveland Cavaliers,Memphis Grizzlies,H
Miami Heat,Oklahoma City Thunder,A
Atlanta Hawks,San Antonio Spurs,A
Portland Trail Blazers,Dallas Mavericks,H
Los Angeles Clippers,New Orleans Pelicans,A
Milwaukee Bucks,Brooklyn Nets,A
Phoenix Suns,Boston Celtics,A
Detroit Pistons,Atlanta Hawks,A
Philadelphia 76ers,New York Knicks,A
Cleveland Cavaliers,Chicago Bulls,H
Toronto Raptors,Minnesota Timberwolves,A
Orlando Magic,Golden State Warriors,H
Los Angeles Lakers,Houston Rockets,A
Portland Trail Blazers,Oklahoma City Thunder,H
Sacramento Kings,Utah Jazz,H
Miami Heat,San Antonio Spurs,H
Indiana Pacers,Denver Nuggets,A
Detroit Pistons,Washington Wizards,H
Toronto Raptors,Atlanta Hawks,A
Philadelphia 76ers,Brooklyn Nets,A
Orlando Magic,Charlotte Hornets,A
New York Knicks,Cleveland Cavaliers,A
Oklahoma City Thunder,Houston Rockets,A
New Orleans Pelicans,Memphis Grizzlies,A
Sacramento Kings,Miami Heat,H
Chicago Bulls,Milwaukee Bucks,H
Los Angeles Lakers,Boston Celtics,H
Denver Nuggets,Minnesota Timberwolves,A
San Antonio Spurs,Phoenix Suns,A
Indiana Pacers,Utah Jazz,H
Golden State Warriors,Portland Trail Blazers,H
Los Angeles Clippers,Dallas Mavericks,A
Sacramento Kings,Detroit Pistons,H
Oklahoma City Thunder,Orlando Magic,A
Philadelphia 76ers,Toronto Raptors,H
Los Angeles Clippers,Atlanta Hawks,H
Memphis Grizzlies,Boston Celtics,H
Washington Wizards,Miami Heat,H
Los Angeles Lakers,New York Knicks,A
Minnesota Timberwolves,Chicago Bulls,H
Denver Nuggets,Houston Rockets,H
Indiana Pacers,Phoenix Suns,A
San Antonio Spurs,New Orleans Pelicans,A
Utah Jazz,Golden State Warriors,A
Washington Wizards,Cleveland Cavaliers,A
Los Angeles Lakers,Brooklyn Nets,A
Dallas Mavericks,Portland Trail Blazers,A
Milwaukee Bucks,Charlotte Hornets,A
Memphis Grizzlies,Detroit Pistons,A
Boston Celtics,Orlando Magic,A
Toronto Raptors,New York Knicks,A
Sacramento Kings,Chicago Bulls,A
Los Angeles Clippers,Miami Heat,A
Houston Rockets,Minnesota Timberwolves,A
Denver Nuggets,New Orleans Pelicans,A
Atlanta Hawks,Oklahoma City Thunder,H
Phoenix Suns,San Antonio Spurs,A
Indiana Pacers,Golden State Warriors,A
Dallas Mavericks,Utah Jazz,H
Brooklyn Nets,Detroit Pistons,A
Chicago Bulls,Cleveland Cavaliers,A
Oklahoma City Thunder,Minnesota Timberwolves,A
Los Angeles Lakers,Philadelphia 76ers,H
Houston Rockets,Denver Nuggets,H
Toronto Raptors,San Antonio Spurs,A
Washington Wizards,Atlanta Hawks,H
Phoenix Suns,Memphis Grizzlies,H
Boston Celtics,New Orleans Pelicans,H
Brooklyn Nets,New York Knicks,H
Los Angeles Clippers,Orlando Magic,A
Indiana Pacers,Portland Trail Blazers,H
Cleveland Cavaliers,Detroit Pistons,A
Orlando Magic,Miami Heat,H
San Antonio Spurs,Chicago Bulls,H
Sacramento Kings,Minnesota Timberwolves,A
Dallas Mavericks,Oklahoma City Thunder,A
Houston Rockets,Utah Jazz,A
New York Knicks,Charlotte Hornets,H
Golden State Warriors,Philadelphia 76ers,H
New Orleans Pelicans,Cleveland Cavaliers,A
Atlanta Hawks,Toronto Raptors,H
Denver Nuggets,Memphis Grizzlies,H
Boston Celtics,Miami Heat,A
Washington Wizards,Milwaukee Bucks,H
Phoenix Suns,Dallas Mavericks,A
Chicago Bulls,Indiana Pacers,H
Detroit Pistons,Brooklyn Nets,H
Memphis Grizzlies,New York Knicks,A
Utah Jazz,San Antonio Spurs,H
Houston Rockets,Portland Trail Blazers,H
Oklahoma City Thunder,Sacramento Kings,A
Toronto Raptors,Cleveland Cavaliers,A
Charlotte Hornets,Washington Wizards,H
Philadelphia 76ers,Atlanta Hawks,H
Golden State Warriors,Boston Celtics,H
Utah Jazz,Denver Nuggets,H
Sacramento Kings,Los Angeles Clippers,A
Toronto Raptors,Detroit Pistons,A
